tweet_id_customer,text_customer,tweet_id_brand,text_brand,intent
2311992,"(Seriously, thank you for always being awesome @AmazonHelp. Your entire customer service department is wonderful.)",2311991,"@412851 You are, as always, incredibly welcome! We are happy to help! ^BE",other
2135760,"@AmazonHelp Enviado y gestionado por Amazon México, la entrega estimada es del 23  al 27, pero apenas hoy se me hizo la pre autorización para proceder con el pedido, solo que ya no hay stock del Nintendo y ya quiero jugarrrrrrr 😭😭😭",2135758,"@628323 Muchas gracias por los datos, en este caso, lo mejor sería que esperes hasta las fechas estimadas de entrega y que estés atento a tus correos electrónicos ya que cualquier información relacionada con tu pedido se te enviará por ese medio. ^CB",other
2884091,"@AmazonHelp いつもお世話になってます！
おいしいですよー(*´罒`*)
因みにこのフライパンもAmazon☆( *｀ω´)",2884090,"@800057 なんとフライパンもAmazonでのお買い上げだったのですね(*ˊᵕˋ*)　いつもご利用ありがとうございます～🙇‍♀️
お引越しで必要なものがあれば、またぜひAmazonをご活用くださいませ😄 HM",order_delivery
783440,@AmazonHelp i got the notification that I received my package but i did not and I waited an hour and nothing has came yet!,783439,"@306990 Sorry for the trouble receiving your package! Please try the steps here: https://t.co/HnuGlbNceo, for help to locate it.^JM",order_delivery
2804248,@AmazonHelp It says this https://t.co/09mfPJwCKP,2804250,"@266953 I'm very sorry. We strive to get your orders to you as quickly as possible, but, in rare cases, delays may occur. I hope we can provide a better experience in the future. ^WT",product_availability
2280038,@AmazonHelp So far yep. Same issue. Very odd.,2280039,"@258142 Yes, very odd indeed! If you would still like to provide your feedback, please contact us by phone or chat here: https://t.co/hApLpMlfHN I hope you have a fantastic day! ^DA",order_delivery
1415550,"@AmazonHelp Yeah, I ordered a Neil Degrasse Tyson book about a month ago and it hasn't arrived. I contacted the seller and sent you a message; no reply.",1415555,@448961 Oh no! I How long ago did you contact the seller? You might be eligible for an A-Z claim: https://t.co/sGJi69hrPU ^BA,other
2171154,@AmazonHelp Physical versions,2171155,@636835 I'd like a member of my team to take a look into it. Please fill in your information here: https://t.co/1xW0QwlMHN and we will investigate and respond to you shortly. ^AH,account
412717,@AmazonHelp Getting errora https://t.co/qLxnCgRP0A,412720,@213506 I'm sorry for the trouble with this Music Unlimited promotional code! Are you currently located in the US or Canada? ^ST,
1193979,@AmazonHelp  https://t.co/uNf4Cf6mcq,1193977,@400549 Hmm... I definitely apologize. Have you been able to discuss some options in real time here: https://t.co/hApLpM3Ejd ? ^BL,
1135011,@AmazonHelp My Echo Dot believes it's still in USA. I can't add my Indian location! Any suggestions?,1135010,@387407 I'm sorry to hear that. You can reach out to our team here: https://t.co/9mwpIdOzZn and they'll sort this for you. ^VN,
1326315,@AmazonHelp I don’t want the game at 2100. I want it on the morning of release. I think I should just go to a shop and send you yours back,1326316,"@429299 Hi - delivery is up to 21:00. Should you wish purchase elsewhere, please refuse the delivery for a refund ^TD",
1347551,@AmazonHelp Yes 😫 usually I’ll get it resolve but for some reason associates on chat were rude and made promises they cant back up 😭,1347549,"@434252 I see, Roxanne! Has the order selected a carrier? https://t.co/Y5jpI9gRhE If so, have you contacted them for options? ^FR",
825080,@AmazonHelp No “buy now” options on that product.,825078,"@316503 Hey Phil, will you send us a link to the product? We'll take a look! ^PF",
573997,@AmazonHelp Don't know when u all will stop disappointing me..every time I think you improved ur service but u disappoint me again.,573995,@254969 Appears you've had an unpleasant experience. We'd like to know what went wrong. Could you please tell us more about it? ^AP,
333113,@AmazonHelp Nicht nötig Ganz einfach. Die aktuelle Ausgabe ist bei euch im Store auch  noch nicht verfügbar.,333115,"@195345 Ja, da gibt es eine Verzögerung. Es wird bereits überprüft. Ich hatte nur Angst, dass du den Fernsehabend nicht planen kannst😉😊 ^MH",
239016,@AmazonHelp Before sending any mail know the case. If you can not provide door step pickup atleast initiate the return and provide delivery address.,239014,"@172830 We can't access your account over Twitter. You can choose to write back to our e-mail, we'll revert soon. ^CB",
180834,@AmazonHelp but is the resolution ??? only sorry ????? writing 1000 time giving all evidence and finally one-word sorry WTF @115851,180835,@158494 I get your disappointment. As informed we can't access your details from Twitter. Please reply to our email. ^HA,
2104996,"@AmazonHelp Was told they would look into it, kept me on hold for 20 odd minutes (45p charge per min) and were meant to follow up with email. 3 days ago",2104997,@621346 How much was your wife charged? ^PK,
894600,"Requested replacements for 3 dmg items. Repl 1 of 3 still damaged. But when I try to exchange it, says refund only of $0.00 @AmazonHelp",894598,@332414 So sorry for the trouble! We'd like to help. Pls get in touch with us by phone or chat for options: https://t.co/hApLpMlfHN ^KJ,
2564040,@AmazonHelp I am a prime member and it was expiring on 15th. On 4th bought exhoplus where you were offering a year’s membership . Now I am told that the membership will get activated only when device is delivered . Offered to pay now as well but was refused and no resolution,2564042,@727547 Apologies for the ordeal. We'd like to take a closer look on this and help. Please share your details here: https://t.co/GIJyeYqKE0 and let us know. We'll check and reach out to you with an update. ^VN,
2289709,@AmazonHelp I have done it many times and frustrated call after https://t.co/pu6Ff2YlZL after email,2289711,@401609 I'm sorry for the long stretch. You'd have received a correspondence from our team. You check it here: https://t.co/8DAc10S7ww &amp; reply for any further concerns. ^EM,
381694,@AmazonHelp https://t.co/4oEBuwQwX4 😅,381696,@206512 Was any notification of a delay advised to you? ^PK,
734078,"@AmazonHelp Please stop fooling around. Really  disappointed, there is zero accountability. Every time many promises made to me and failed honoring that",734079,@183033 Apologies for the unpleasant experience. We wouldn't be able to access your account on Twitter. Kindly reply to the email you received from our team for further assistance. ^BV,
1203441,@AmazonHelp スマフォでもPCでもそうなっている場合、こちらの問題なんでしょうか。,1203440,@402713 さようでございましたか。ご不便をおかけしております。恐れ入りますがTwitter上では頂いた情報より状況を判断しご対応をすることができません。お手数ですが先にお送りしたリンクよりカスタマーサービスにご連絡いただければと存じます。 HM,
1621304,@AmazonHelp I have sent two emails to __email__...No reply...Your india customer care really needs to wake the fuck up!,1621306,"@496825 My apologies, Ishan. Kindly fill in your details here: https://t.co/5n9BfMzyGG and we will get back to you soon. ^KS",
